Dataset,Run,Classifier,Balanced_Accuracy
openml_879,1,Logistic Regression (SGD) with interactions,0.6042780748663101
openml_879,2,Logistic Regression (SGD) with interactions,0.5390625
openml_879,3,Logistic Regression (SGD) with interactions,0.5492359932088284
openml_879,4,Logistic Regression (SGD) with interactions,0.5331069609507639
openml_879,5,Logistic Regression (SGD) with interactions,0.5564516129032258
openml_879,1,Logistic Regression (SGD),0.5909090909090908
openml_879,2,Logistic Regression (SGD),0.6111111111111112
openml_879,3,Logistic Regression (SGD),0.5844651952461799
openml_879,4,Logistic Regression (SGD),0.5449915110356536
openml_879,5,Logistic Regression (SGD),0.615874363327674
openml_879,1,Logistic Regression (Adam) with interactions,0.5521390374331551
openml_879,2,Logistic Regression (Adam) with interactions,0.5572916666666667
openml_879,3,Logistic Regression (Adam) with interactions,0.5382003395585738
openml_879,4,Logistic Regression (Adam) with interactions,0.5271646859083192
openml_879,5,Logistic Regression (Adam) with interactions,0.49278438030560273
openml_879,1,Logistic Regression (Adam),0.5909090909090908
openml_879,2,Logistic Regression (Adam),0.6111111111111112
openml_879,3,Logistic Regression (Adam),0.5844651952461799
openml_879,4,Logistic Regression (Adam),0.5449915110356536
openml_879,5,Logistic Regression (Adam),0.615874363327674
openml_879,1,Logistic Regression (IRLS) with interactions,0.5904634581105169
openml_879,2,Logistic Regression (IRLS) with interactions,0.5920138888888888
openml_879,3,Logistic Regression (IRLS) with interactions,0.6400679117147707
openml_879,4,Logistic Regression (IRLS) with interactions,0.5301358234295416
openml_879,5,Logistic Regression (IRLS) with interactions,0.5806451612903225
openml_879,1,Logistic Regression (IRLS),0.5909090909090908
openml_879,2,Logistic Regression (IRLS),0.625
openml_879,3,Logistic Regression (IRLS),0.5844651952461799
openml_879,4,Logistic Regression (IRLS),0.5369269949066213
openml_879,5,Logistic Regression (IRLS),0.615874363327674
openml_879,1,Linear Discriminant Analysis,0.5909090909090908
openml_879,2,Linear Discriminant Analysis,0.6388888888888888
openml_879,3,Linear Discriminant Analysis,0.5764006791171477
openml_879,4,Linear Discriminant Analysis,0.5237691001697793
openml_879,5,Linear Discriminant Analysis,0.6078098471986417
openml_879,1,Quadratic Discriminant Analysis,0.6274509803921569
openml_879,2,Quadratic Discriminant Analysis,0.5520833333333334
openml_879,3,Quadratic Discriminant Analysis,0.6056876061120543
openml_879,4,Quadratic Discriminant Analysis,0.5742784380305602
openml_879,5,Quadratic Discriminant Analysis,0.5755517826825127
openml_879,1,Decision Tree,0.7754010695187166
openml_879,2,Decision Tree,0.78125
openml_879,3,Decision Tree,0.7211375212224109
openml_879,4,Decision Tree,0.7797113752122241
openml_879,5,Decision Tree,0.7797113752122241
openml_879,1,Random Forest,0.7611408199643493
openml_879,2,Random Forest,0.7526041666666667
openml_879,3,Random Forest,0.7461799660441426
openml_879,4,Random Forest,0.7805602716468591
openml_879,5,Random Forest,0.8361629881154499
